ESP,ALL,HLP,LLCE_ENG,MATHS,NSI,PC,SVT,SES,HGGSP,THEATRE,ART_Pop,CHI3,MUSICop,THEATREop,ART_Pop,EUROENG,None,None,None
ESP,HGGSP,HLP,LLCE_ENG,SVT,SES,MUSIC,THEATRE,ART_P,CHI3,MUSICop,THEATREop,EUROENG,None,None,None,None,None,None,None
ALL,ESP,HGGSP,HLP,NSI,PC,SVT,SES,MUSIC,THEATRE,ART_P,DGEMC,MATHSCOMP,GREC,CHI3,MUSICop,THEATREop,ART_Pop,EUROENG,None
ALL,ESP,HGGSP,LLCE_ENG,MATHS,PC,SVT,SES,THEATRE,ART_P,DGEMC,MATHSCOMP,GREC,CHI3,MUSICop,THEATREop,ART_Pop,EUROENG,None,None
ALL,ESP,HGGSP,HLP,LLCE_ENG,MATHS,NSI,PC,SVT,SES,THEATRE,ART_P,DGEMC,MATHSCOMP,MATHSEXPERT,LATIN,MUSICop,THEATREop,ART_Pop,EUROENG
ALL,ESP,HGGSP,HLP,LLCE_ENG,MATHS,PC,SVT,SES,MUSIC,THEATRE,DGEMC,MATHSCOMP,MATHSEXPERT,LATIN,GREC,CHI3,ART_Pop,EUROENG,EUROALL
ALL,ESP,HGGSP,HLP,LLCE_ENG,LLCE_ESP,MATHS,PC,SVT,SES,MUSIC,THEATRE,DGEMC,MATHSCOMP,LATIN,GREC,CHI3,MUSICop,ART_Pop,EUROENG
ALL,ESP,CHI,MATHS,NSI,PC,SVT,SES,MUSIC,THEATRE,ART_P,DGEMC,MATHSCOMP,LATIN,MUSICop,THEATREop,ART_Pop,EUROENG,None,None
ALL,ESP,CHI,MATHS,NSI,PC,SVT,SI,DGEMC,MATHSCOMP,MATHSEXPERT,GREC,CHI3,ART_Pop,EUROENG,None,None,None,None,None
ALL,ESP,CHI,HGGSP,HLP,LLCE_ENG,MATHS,SES,THEATRE,ART_P,DGEMC,MATHSCOMP,LATIN,CHI3,MUSIQUE,THEATRE,EUROENG,EUROALL,None,None
